company_id,company_name,inn,industry,region,employee_count,created_date,status
1001,"ООО ""Ромашка""",7701123456,Retail,ЦФО,120,45061,active
1002,"АО ""ТехноСервис""",7802123456,IT,СЗФО,45,45158,active
1003,ИП Сидоров,6103123456,Services,ЮФО,5,45301,lead
1004,"ООО ""Ромашка-Логистик""",7701123456,Logistics,ЦФО,30,45337,active
1005,"ЗАО ""СтройИнвест""",1604123456,Construction,ПФО,250,44870,inactive
1006,"ООО ""Айти-Решения""",7805123456,IT,ЦФО,18,45371,lead
1007,"ООО ""Торговый Дом""",6106123456,Retail,ЮФО,85,45181,active
1008,"ООО ""Бизнес-Консалт""",7707123456,Services,ЦФО,12,45383,lead
1009,"АО ""ФинансГрупп""",7808123456,Finance,СЗФО,320,44730,active
1010,"ООО ""ПромТех""",1609123456,Industry,ПФО,180,44982,active
1011,"ООО ""МедиаХолдинг""",7710123456,Media,ЦФО,95,45260,active
1012,"АО ""ЭнергоСбыт""",1611123456,Energy,ПФО,420,44571,active
1013,"ООО ""ЛогистикПлюс""",7812123456,Logistics,СЗФО,65,45114,active
1014,ИП Петрова,6113123456,Services,ЮФО,2,45417,lead
1015,"ООО ""Трейд""",7714123456,Retail,ЦФО,28,45350,lead
1016,"ООО ""Новые Технологии""",7716123456,IT,ЦФО,35,45550,lead
1017,"АО ""Цифровые Решения""",7817123456,IT,СЗФО,120,45524,active
1018,"ООО ""Бизнес-Партнер""",7718123456,Services,ЦФО,15,45566,lead
1019,ИП Смирнов,6119123456,Services,ЮФО,1,45575,lead
1020,"ООО ""Инновации""",7720123456,IT,ЦФО,25,45601,active
1021,"АО ""СтройТех""",1621123456,Construction,ПФО,180,45555,active
1022,"ООО ""МаркетингПро""",7722123456,Services,ЦФО,8,45580,lead
1023,"ООО ""ЭнергоПром""",1623123456,Energy,ПФО,350,45483,active
1024,"АО ""ЛогистикСистем""",7824123456,Logistics,СЗФО,95,45509,active
1025,"ООО ""ФинТех""",7725123456,Finance,ЦФО,45,45547,active
1026,ИП Козлов,6126123456,Services,ЮФО,2,45616,lead
1027,"ООО ""РитейлГрупп""",7727123456,Retail,ЦФО,210,45458,active
1028,"АО ""МедиаХолдинг-2""",7828123456,Media,СЗФО,75,45495,active
1029,"ООО ""КонсалтБюро""",7729123456,Services,ЦФО,12,45593,lead
1030,"ООО ""ПромАвтоматика""",1630123456,Industry,ПФО,140,45430,active
1031,"АО ""ИТ-Сервис""",7831123456,IT,СЗФО,55,45534,active
1032,"ООО ""Торговый Дом-2""",7732123456,Retail,ЦФО,65,45540,active
1033,ИП Николаев,6133123456,Services,ЮФО,3,45577,lead
1034,"ООО ""СтройИнвест-Юг""",6134123456,Construction,ЮФО,95,45498,active
1035,"АО ""ЭнергоСбыт-2""",1635123456,Energy,ПФО,380,45402,active
1036,"ООО ""ЛогистикПлюс-Юг""",6136123456,Logistics,ЮФО,45,45512,active
1037,"ООО ""ФинКонсалт""",7737123456,Finance,ЦФО,18,45560,lead
1038,"АО ""ТехноСервис-2""",7838123456,IT,СЗФО,85,45455,active
1039,"ООО ""Медиа-Юг""",6139123456,Media,ЮФО,32,45570,active
1040,ИП Васильев,6140123456,Services,ЮФО,1,45611,lead
