company_id,quarter,segment,revenue_quarter
1001,2024Q1,Large_High_Active,450000
1001,2024Q2,Large_High_Active,380000
1001,2024Q3,Large_Medium_Active,120000
1001,2024Q4,Large_Medium_Inactive,0
1001,2025Q1,Large_Medium_Active,275000
1002,2024Q1,Medium_Medium_Active,320000
1002,2024Q2,Medium_High_Active,350000
1002,2024Q3,Medium_High_Active,280000
1002,2024Q4,Medium_High_Active,310000
1002,2025Q1,Medium_High_Active,350000
1003,2024Q1,Small_Low_Active,45000
1003,2024Q2,Small_Low_Active,38000
1003,2024Q3,Small_Low_Inactive,0
1003,2024Q4,Small_Low_Inactive,0
1003,2025Q1,Small_Low_Active,120000
1005,2024Q1,Large_High_Active,500000
1005,2024Q2,Large_High_Active,480000
1005,2024Q3,Large_Medium_Active,520000
1005,2024Q4,Large_Medium_Active,450000
1005,2025Q1,Large_Medium_Inactive,0
1007,2024Q1,Medium_Medium_Active,180000
1007,2024Q2,Medium_Medium_Active,165000
1007,2024Q3,Medium_Low_Active,120000
1007,2024Q4,Medium_Low_Active,130000
1007,2025Q1,Medium_Medium_Active,180000
1009,2024Q1,Large_High_Active,950000
1009,2024Q2,Large_High_Active,880000
1009,2024Q3,Large_High_Active,920000
1009,2024Q4,Large_High_Active,1050000
1009,2025Q1,Large_High_Active,350000
1010,2024Q1,Medium_Medium_Active,220000
1010,2024Q2,Medium_Medium_Active,180000
1010,2024Q3,Medium_Low_Active,65000
1010,2024Q4,Medium_Medium_Active,145000
1010,2025Q1,Medium_Medium_Active,0
1011,2024Q1,Medium_High_Active,420000
1011,2024Q2,Medium_High_Active,380000
1011,2024Q3,Medium_High_Active,395000
1011,2024Q4,Medium_High_Active,410000
1011,2025Q1,Medium_High_Active,420000
1013,2024Q1,Small_Medium_Active,275000
1013,2024Q2,Small_Medium_Active,260000
1013,2024Q3,Small_Medium_Active,280000
1013,2024Q4,Small_Medium_Active,240000
1013,2025Q1,Small_Medium_Active,275000
